ENSMUSG00000089409	ENSMUST00000158784		83078511	83078629	Gm24884-201	Gm24884
ENSMUSG00000038024	ENSMUST00000045512	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	prenatal lethality prior to heart atrial septation	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	decreased effector memory CD8-positive alpha-beta T cell number	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	preweaning lethality complete penetrance	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	cellular response to insulin stimulus	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000038024	ENSMUST00000045512	establishment of protein localization to plasma membrane	86748555	86850603	Dennd4c-201	Dennd4c
ENSMUSG00000028495	ENSMUST00000102814	decreased circulating insulin level	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal pancreatic beta cell morphology	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal cell cycle	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal pancreatic islet morphology	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal cell morphology	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	increased insulin sensitivity	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal cell physiology	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	decreased insulin secretion	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal hepatocyte morphology	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	impaired glucose tolerance	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	G1/S transition of mitotic cell cycle	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	T cell differentiation in thymus	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	T cell proliferation involved in immune response	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	decreased activation-induced cell death of T cells	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	enucleate erythrocyte development	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	cell migration involved in gastrulation	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	mitotic cell cycle checkpoint	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	mitotic nuclear division	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	negative regulation of apoptotic process	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	oogenesis stage	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	abnormal placenta development	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	rRNA processing	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000102814	ribosomal small subunit biogenesis	86854660	86857412	Rps6-001	Rps6
ENSMUSG00000028495	ENSMUST00000136174	decreased circulating insulin level	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal pancreatic beta cell morphology	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal cell cycle	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal pancreatic islet morphology	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal cell morphology	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	increased insulin sensitivity	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal cell physiology	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	decreased insulin secretion	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal hepatocyte morphology	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	impaired glucose tolerance	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	G1/S transition of mitotic cell cycle	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	T cell differentiation in thymus	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	T cell proliferation involved in immune response	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	decreased activation-induced cell death of T cells	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	enucleate erythrocyte development	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	cell migration involved in gastrulation	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	mitotic cell cycle checkpoint	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	mitotic nuclear division	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	negative regulation of apoptotic process	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	oogenesis stage	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	abnormal placenta development	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	rRNA processing	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000136174	ribosomal small subunit biogenesis	86854660	86857412	Rps6-002	Rps6
ENSMUSG00000028495	ENSMUST00000123229	decreased circulating insulin level	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal pancreatic beta cell morphology	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal cell cycle	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal pancreatic islet morphology	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal cell morphology	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	increased insulin sensitivity	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal cell physiology	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	decreased insulin secretion	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal hepatocyte morphology	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	impaired glucose tolerance	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	G1/S transition of mitotic cell cycle	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	T cell differentiation in thymus	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	T cell proliferation involved in immune response	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	decreased activation-induced cell death of T cells	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	enucleate erythrocyte development	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	cell migration involved in gastrulation	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	mitotic cell cycle checkpoint	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	mitotic nuclear division	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	negative regulation of apoptotic process	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	oogenesis stage	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	abnormal placenta development	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	rRNA processing	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000123229	ribosomal small subunit biogenesis	86854660	86857412	Rps6-004	Rps6
ENSMUSG00000028495	ENSMUST00000130001	decreased circulating insulin level	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal pancreatic beta cell morphology	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal cell cycle	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal pancreatic islet morphology	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal cell morphology	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	increased insulin sensitivity	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal cell physiology	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	decreased insulin secretion	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal hepatocyte morphology	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	impaired glucose tolerance	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	G1/S transition of mitotic cell cycle	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	T cell differentiation in thymus	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	T cell proliferation involved in immune response	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	decreased activation-induced cell death of T cells	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	enucleate erythrocyte development	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	cell migration involved in gastrulation	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	mitotic cell cycle checkpoint	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	mitotic nuclear division	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	negative regulation of apoptotic process	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	oogenesis stage	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	abnormal placenta development	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	rRNA processing	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000028495	ENSMUST00000130001	ribosomal small subunit biogenesis	86854660	86857412	Rps6-003	Rps6
ENSMUSG00000038007	ENSMUST00000045224		86874396	86934822	Acer2-001	Acer2
ENSMUSG00000038007	ENSMUST00000084433		86874396	86934822	Acer2-002	Acer2
ENSMUSG00000038007	ENSMUST00000128712		86874396	86934822	Acer2-003	Acer2
ENSMUSG00000038007	ENSMUST00000135874		86874396	86934822	Acer2-004	Acer2
ENSMUSG00000037996	ENSMUST00000107157	abnormal motor learning	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	abnormal long term depression	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	reduced long term potentiation	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	abnormal spatial learning	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	impaired spatial learning	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	long term synaptic depression	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	long-term synaptic potentiation	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000107157	fast extinction of fear memory	86983124	87230477	Slc24a2-001	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	abnormal motor learning	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	abnormal long term depression	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	reduced long term potentiation	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	abnormal spatial learning	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	impaired spatial learning	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	long term synaptic depression	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	long-term synaptic potentiation	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000155361	fast extinction of fear memory	86983124	87230477	Slc24a2-002	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	abnormal motor learning	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	abnormal long term depression	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	reduced long term potentiation	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	abnormal spatial learning	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	impaired spatial learning	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	long term synaptic depression	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	long-term synaptic potentiation	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134248	fast extinction of fear memory	86983124	87230477	Slc24a2-003	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	abnormal motor learning	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	abnormal long term depression	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	reduced long term potentiation	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	abnormal spatial learning	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	impaired spatial learning	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	long term synaptic depression	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	long-term synaptic potentiation	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000134643	fast extinction of fear memory	86983124	87230477	Slc24a2-004	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	abnormal motor learning	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	abnormal long term depression	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	reduced long term potentiation	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	abnormal spatial learning	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	impaired spatial learning	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	long term synaptic depression	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	long-term synaptic potentiation	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000044990	fast extinction of fear memory	86983124	87230477	Slc24a2-005	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	abnormal motor learning	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	abnormal long term depression	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	reduced long term potentiation	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	abnormal spatial learning	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	impaired spatial learning	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	long term synaptic depression	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	long-term synaptic potentiation	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000107155	fast extinction of fear memory	86983124	87230477	Slc24a2-006	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	abnormal motor learning	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	abnormal long term depression	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	reduced long term potentiation	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	abnormal spatial learning	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	impaired spatial learning	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	long term synaptic depression	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	long-term synaptic potentiation	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000146815	fast extinction of fear memory	86983124	87230477	Slc24a2-007	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	abnormal motor learning	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	abnormal long term depression	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	reduced long term potentiation	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	abnormal spatial learning	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	impaired spatial learning	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	long term synaptic depression	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	long-term synaptic potentiation	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000140780	fast extinction of fear memory	86983124	87230477	Slc24a2-008	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	abnormal motor learning	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	abnormal long term depression	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	reduced long term potentiation	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	abnormal spatial learning	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	abnormal calcium ion homeostasis	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	cellular calcium ion homeostasis	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	impaired spatial learning	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	long term synaptic depression	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	long-term synaptic potentiation	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000037996	ENSMUST00000107158	fast extinction of fear memory	86983124	87230477	Slc24a2-201	Slc24a2
ENSMUSG00000086512	ENSMUST00000146704		87298362	87301270	Gm12600-001	Gm12600
ENSMUSG00000082443	ENSMUST00000118382		87580789	87581560	Gm12604-001	Gm12604
ENSMUSG00000028496	ENSMUST00000078090	increased circulating alanine transaminase level	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	increased circulating alanine transaminase level	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	preweaning lethality complete penetrance	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	preweaning lethality complete penetrance	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	hyperactivity	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	hyperactivity	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	postnatal lethality complete penetrance	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	perinatal lethality incomplete penetrance	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	preweaning lethality complete penetrance	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	decreased rib number	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	thoracic vertebral transformation	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	abnormal sternum ossification	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	abnormal cervical vertebrae morphology	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	vertebral transformation	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	abnormal vertebral column morphology	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	abnormal developmental patterning	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	decreased body size	87769925	88033364	Mllt3-001	Mllt3
ENSMUSG00000028496	ENSMUST00000078090	asymmetric rib-sternum attachment	87769925	88033364	Mllt3-001	Mllt3
